id,domain,type,user_id
1,.aaa,generic,1
2,.aarp,generic,1
3,.abarth,generic,1
4,.abb,generic,1
5,.abbott,generic,1
6,.abbvie,generic,1
7,.abc,generic,1
8,.able,generic,1
9,.abogado,generic,1
10,.abudhabi,generic,1
11,.ac,country-code,1
12,.academy,generic,1
13,.accenture,generic,1
14,.accountant,generic,1
15,.accountants,generic,1
16,.aco,generic,1
17,.active,generic,1
18,.actor,generic,1
19,.ad,country-code,1
20,.adac,generic,1
21,.ads,generic,1
22,.adult,generic,1
23,.ae,country-code,1
24,.aeg,generic,1
25,.aero,sponsored,1
26,.aetna,generic,1
27,.af,country-code,1
28,.afamilycompany,generic,1
29,.afl,generic,1
30,.africa,generic,1
31,.ag,country-code,1
32,.agakhan,generic,1
33,.agency,generic,1
34,.ai,country-code,1
35,.aig,generic,1
36,.aigo,generic,1
37,.airbus,generic,1
38,.airforce,generic,1
39,.airtel,generic,1
40,.akdn,generic,1
41,.al,country-code,1
42,.alfaromeo,generic,1
43,.alibaba,generic,1
44,.alipay,generic,1
45,.allfinanz,generic,1
46,.allstate,generic,1
47,.ally,generic,1
48,.alsace,generic,1
49,.alstom,generic,1
50,.am,country-code,1
51,.amazon,generic,1
52,.americanexpress,generic,1
53,.americanfamily,generic,1
54,.amex,generic,1
55,.amfam,generic,1
56,.amica,generic,1
57,.amsterdam,generic,1
58,.an,country-code,1
59,.analytics,generic,1
60,.android,generic,1
61,.anquan,generic,1
62,.anz,generic,1
63,.ao,country-code,1
64,.aol,generic,1
65,.apartments,generic,1
66,.app,generic,1
67,.apple,generic,1
68,.aq,country-code,1
69,.aquarelle,generic,1
70,.ar,country-code,1
71,.arab,generic,1
72,.aramco,generic,1
73,.archi,generic,1
74,.army,generic,1
75,.arpa,infrastructure,1
76,.art,generic,1
77,.arte,generic,1
78,.as,country-code,1
79,.asda,generic,1
80,.asia,sponsored,1
81,.associates,generic,1
82,.at,country-code,1
83,.athleta,generic,1
84,.attorney,generic,1
